,plu_id,plu_hierarchy_lvl_2_desc,plu_width_amt,plu_depth_amt,plu_height_amt,Квант
831,3434605.0,Молочная гастрономия,7.28,7.28,23.9,
832,4134934.0,Бакалея (Food),12.5,0.5,16.0,
833,3476298.0,Детское питание (Fresh),14.5,10.0,5.5,
834,4228778.0,Сопутствующие товары (Food),4.2,7.6,16.2,
835,3687579.0,Бакалея (Food),12.0,27.0,15.5,
836,4172055.0,Детские товары (Food),6.7,6.7,9.2,
837,4109509.0,Кондитерские изделия (Food),7.0,0.85,14.9,
838,4302114.0,ФК Кулинария и салаты,13.2,16.4,4.4,
839,4269362.0,Бакалея (Food),10.0,10.0,10.0,
840,2035090.0,Рыбная гастрономия,14.2,14.2,2.5,
841,4365538.0,"Готовая кулинария, салаты",10.7,14.7,4.7,
842,3380358.0,Сопутствующие товары (Food),7.3,3.5,17.0,6.0
843,4200609.0,Сопутствующие товары (Food),9.3,6.3,29.6,12.0
844,3608912.0,"Готовая кулинария, салаты",19.0,2.5,25.0,6.0
845,4119681.0,Кондитерские изделия (Food),6.0,14.0,1.8,
846,4367046.0,Мясная гастрономия,13.0,4.0,15.0,6.0
847,3018288.0,Мясная гастрономия,13.0,5.0,15.0,
848,4285011.0,Кондитерские изделия (Food),13.4,21.0,5.3,
849,4349886.0,Кондитерские изделия (Food),8.8,2.4,3.3,30.0
850,4330165.0,Товары для дома,13.0,9.5,7.5,
851,4297756.0,Бакалея (Food),9.0,4.5,18.0,
852,3379809.0,Сопутствующие товары (Food),4.4,2.0,22.8,12.0
853,4013455.0,Детское питание (Food),3.5,1.0,11.5,18.0
854,3502825.0,Сопутствующие товары (Food),11.0,4.5,27.5,
855,4045568.0,Мясная гастрономия,15.5,23.0,1.5,12.0
856,4200721.0,Бакалея (Food),16.5,6.8,15.7,
857,4308460.0,"Соки, воды, пиво",6.4,6.4,16.8,24.0
858,4301719.0,Диабетическое питание,13.5,3.0,21.0,
859,4383604.0,ФК Кулинария и салаты,13.5,18.5,9.0,
860,4255358.0,Рыбная гастрономия,12.2,12.2,4.0,
861,3643282.0,Бакалея (Food),7.4,7.4,9.5,
862,3654638.0,Канцелярские товары,6.0,1.2,22.0,
863,3422209.0,Бакалея (Food),5.3,5.3,17.0,10.0
864,3683477.0,"Хлеб, хлебобулочные изделия (Food)",28.0,6.5,12.0,
865,4381676.0,ФК Кулинария и салаты,13.7,18.7,4.5,
866,4134957.0,Молочная гастрономия,9.2,7.0,5.3,
867,4368398.0,Мясная гастрономия,19.0,1.0,24.0,
868,4089670.0,Замороженные продукты,21.0,6.5,3.0,
869,4321597.0,Кондитерские изделия (Food),17.0,6.0,29.0,17.0
870,2023501.0,Кондитерские изделия (Food),25.5,6.5,8.0,15.0
871,4339373.0,Кондитерские изделия (Food),17.5,3.2,11.2,30.0
872,3694350.0,Детские товары (Food),7.6,3.8,15.8,10.0
873,4335112.0,Бакалея (Food),21.5,7.0,38.0,10.0
874,3915849.0,Детское питание (Food),14.4,4.0,19.5,
875,3445952.0,Корма для животных,17.0,7.0,25.0,
876,4142503.0,Сопутствующие товары (Food),19.0,9.0,39.0,
877,4310741.0,Мясная гастрономия,15.0,17.0,5.0,8.0
878,3293367.0,Молочная гастрономия,5.7,5.7,14.0,
879,4298464.0,Диабетическое питание,7.2,16.0,3.6,
880,4018544.0,Бакалея (Food),10.0,2.3,12.5,40.0
881,4221987.0,Мясная гастрономия,7.0,17.0,6.0,6.0
882,2133716.0,Сопутствующие товары (Food),7.3,3.5,17.0,
883,4225638.0,Бакалея (Food),4.5,4.5,22.0,
884,3479073.0,Детское питание (Food),6.2,6.2,9.8,
885,4377080.0,Бакалея (Food),12.0,5.0,20.5,16.0
886,4274928.0,Замороженные продукты,12.5,23.5,3.0,
887,4295964.0,"Готовая кулинария, салаты",13.2,16.4,4.4,2.0
888,4275308.0,Бакалея (Food),11.5,1.5,16.5,
889,3463465.0,Рыбная гастрономия,11.0,2.5,8.0,
890,3908611.0,Молочная гастрономия,11.0,2.5,11.0,
891,4355140.0,"Готовая кулинария, салаты",14.2,14.2,5.3,
892,3993220.0,Замороженные продукты,20.0,11.0,6.0,12.0
893,3637008.0,Детское питание (Fresh),8.7,2.0,17.1,8.0
894,24139.0,Молочная гастрономия,10.5,2.5,9.0,
895,19444.0,Бакалея (Food),7.0,3.0,14.0,
896,3950553.0,Сопутствующие товары (Food),8.0,4.2,21.7,
897,3639110.0,Кондитерские изделия (Food),28.0,3.1,9.4,
898,4302846.0,Молочная гастрономия,8.4,4.5,4.5,
